airplane,airname,citycode,cityname,country
IPL,因皮里尔机场,IPL,因皮里尔,美国
IYK,因约肯机场,IYK,因约肯,美国
SVC,银城机场,SVC,银城,美国
IND,印第安纳波利斯国际机场,IND,印第安纳波利斯,美国
KEB,英吉利湾机场,KEB,英吉利湾,美国
EUG,尤金机场,EUG,尤金,美国
EKA,尤里卡机场,EKA,尤里卡,美国
YUM,尤马国际机场,YUM,尤马,美国
LGF,拉古纳空军基地,YUM,尤马,美国
UNK,尤纳拉克利特机场,UNK,尤纳拉克利特,美国
EXI,游港机场,EXI,游港,美国
FYU,育空堡机场,FYU,育空堡,美国
JST,约翰斯顿机场,JST,约翰斯顿,美国
JON,约翰斯顿岛机场,JON,约翰斯顿岛,美国
JHW,詹姆斯敦机场,JHW,詹姆斯敦,美国
JMS,詹姆斯顿机场,JMS,詹姆斯顿,美国
LGB,长滩地方机场,LGB,长滩,美国
CGX,梅里尔-梅格斯机场,CHI,芝加哥,美国
MDW,米德威机场,CHI,芝加哥,美国
ORD,奥黑尔国际机场,CHI,芝加哥,美国
JNU,朱诺机场,JNU,朱诺,美国
PSP,帕姆斯普林斯地方机场,PSP,棕榈泉,美国
AJJ,阿克茹特机场,AJJ,阿克茹特,毛里塔尼亚
ATR,阿塔尔机场,ATR,阿塔尔,毛里塔尼亚
BGH,博盖机场,BGH,博盖,毛里塔尼亚
KFA,基法机场,KFA,基法,毛里塔尼亚
EMN,涅马机场,EMN,涅马,毛里塔尼亚
NDB,努瓦迪布机场,NDB,努瓦迪布,毛里塔尼亚
NKC,努瓦克肖特机场,NKC,努瓦克肖特,毛里塔尼亚
AEO,埃奥恩-埃尔阿特劳斯机场,AEO,欧云,毛里塔尼亚
SEY,塞勒巴比机场,SEY,塞勒巴比,毛里塔尼亚
TIY,提吉克贾机场,TIY,提吉克贾,毛里塔尼亚
OUZ,祖埃拉特机场,OUZ,祖埃拉特,毛里塔尼亚
RRG,罗德里格斯岛机场,RRG,罗德里格斯岛,毛里求斯
MRU,毛里求斯机场,MRU,毛里求斯,毛里求斯
DZA,藻德济机场,DZA,藻德济,马约特
FDF,马丁尼克-亚米-凯萨国际机场,FDF,法兰西堡,马提尼克
AMR,阿尔诺机场,AMR,阿尔诺,马绍尔群岛
ENT,埃尼威托克岛机场,ENT,埃尼威托克岛,马绍尔群岛
AIC,艾尔奥克机场,AIC,艾尔奥克,马绍尔群岛
AIP,艾林拉帕拉普岛机场,AIP,艾林拉帕拉普岛,马绍尔群岛
AIM,艾芦克岛机场,AIM,艾芦克岛,马绍尔群岛
AUL,奥尔岛机场,AUL,奥尔岛,马绍尔群岛
BII,比基尼机场,BII,比基尼环礁,马绍尔群岛
KIO,基利岛机场,KIO,基利岛,马绍尔群岛
JAT,贾巴特机场,JAT,贾巴特,马绍尔群岛
UIT,贾卢伊特机场,UIT,贾卢伊特,马绍尔群岛
JEJ,杰机场,JEJ,杰,马绍尔群岛
KBT,卡本机场,KBT,卡本,马绍尔群岛
KWA,夸贾林机场,KWA,夸贾林,马绍尔群岛
EAL,埃雷纳克机场,EAL,夸贾林群岛,马绍尔群岛
LML,莱岛机场,LML,莱岛,马绍尔群岛
LIK,利凯普岛机场,LIK,利凯普岛,马绍尔群岛
MAV,马洛埃拉普岛机场,MAV,马洛埃拉普岛,马绍尔群岛
MAJ,阿马塔卡布阿国际机场,MAJ,马朱罗,马绍尔群岛
MJE,迈基金机场,MJE,迈基金,马绍尔群岛
MJB,梅吉特岛机场,MJB,梅吉特岛,马绍尔群岛
MIJ,米利岛机场,MIJ,米利岛,马绍尔群岛
EJT,埃尼杰特机场,EJT,米利环礁,马绍尔群岛
NDK,纳莫克里岛机场,NDK,纳莫克里岛,马绍尔群岛
WJA,沃加机场,WJA,沃加,马绍尔群岛
WTE,沃杰机场,WTE,沃杰,马绍尔群岛
WTO,沃托机场,WTO,沃托,马绍尔群岛
UTK,乌蒂里克岛机场,UTK,乌蒂里克岛,马绍尔群岛
UJE,乌贾机场,UJE,乌贾,马绍尔群岛
OHD,奥赫里德机场,OHD,奥赫里德,马其顿
SKP,斯科普里机场,SKP,斯科普里,马其顿
BKO,巴马科机场,BKO,巴马科,马里
MZI,莫普提机场,MZI,莫普提,马里
TOM,通布图机场,TOM,通布图,马里
BKM,巴克拉兰机场,BKM,巴克拉兰,马来西亚
BBN,巴里奥机场,BBN,巴里奥,马来西亚
BWH,巴特沃思机场,BWH,北海,马来西亚
BLG,贝拉贾机场,BLG,贝拉贾,马来西亚
PEN,槟城机场,PEN,槟城,马来西亚
TGC,丹绒马尼斯机场,TGC,丹绒马尼斯,马来西亚
TOD,刁曼机场,TOD,刁曼岛,马来西亚
TGG,瓜拉丁加奴机场,TGG,丁加奴,马来西亚
TWU,斗湖机场,TWU,斗湖,马来西亚
KBR,蓬卡兰切帕机场,KBR,哥打巴鲁,马来西亚
BKI,哥打京那巴鲁机场,BKI,哥打基纳巴鲁,马来西亚
KUD,库达特机场,KUD,古达,马来西亚
KCH,古晋机场,KCH,古晋,马来西亚
KUA,关丹机场,KUA,关丹,马来西亚
SZB,吉隆坡梳邦机场,KUL,吉隆坡,马来西亚
KUL,吉隆坡国际机场,KUL,吉隆坡,马来西亚
KTE,科特机场,KTE,科特,马来西亚
LDU,拉哈达图机场,LDU,拉哈达图,马来西亚
LWY,拉瓦斯机场,LWY,拉瓦斯,马来西亚
LGK,兰卡威机场,LGK,兰卡威,马来西亚
LMN,林邦机场,LMN,林梦,马来西亚
LBP,龙巴加机场,LBP,龙巴加,马来西亚
LGL,隆勒朗机场,LGL,隆勒朗,马来西亚
ODN,伦塞里旦机场,ODN,伦塞里旦,马来西亚
MUR,马鲁迪机场,MUR,马鲁帝,马来西亚
MYY,米里机场,MYY,美里,马来西亚
BTU,民都鲁机场,BTU,民都鲁,马来西亚
MZV,姆碌机场,MZV,姆碌,马来西亚
MKM,穆卡机场,MKM,木卡,马来西亚
LBU,拉布安岛机场,LBU,纳闽,马来西亚
LKH,弄亚卡机场,LKH,弄亚卡,马来西亚
SDK,山打根机场,SDK,山打根,马来西亚
SBW,泗务机场,SBW,泗务,马来西亚
TMG,托芒贡机场,TMG,托芒贡,马来西亚
JHB,新山机场,JHB,新山,马来西亚
AOR,亚罗士打机场,AOR,亚罗士打,马来西亚
IPH,怡保机场,IPH,怡保,马来西亚
GTB,云顶机场,GTB,云顶,马来西亚
BLZ,布兰太尔机场,BLZ,布兰太尔,马拉维
KGJ,卡龙加机场,KGJ,卡龙加,马拉维
LLW,利隆圭国际机场,LLW,利隆圭,马拉维
CMK,克拉布马考考拉机场,CMK,马可可拉俱乐部,马拉维
ZZU,姆祖祖机场,ZZU,姆祖祖,马拉维
GZM,戈佐机场,GZM,戈佐岛,马耳他
JCO,科米诺机场,JCO,科米诺岛,马耳他
MLA,马耳他机场,MLA,马耳他岛,马耳他
HAQ,哈霓玛阿都机场,HAQ,哈霓玛阿都,马尔代夫
KDO,加途机场,KDO,加途,马尔代夫
KDM,佳特土机场,KDM,佳特土,马尔代夫
MLE,马累机场,MLE,马累,马尔代夫
WAM,安巴通德拉扎卡机场,WAM,安巴通德拉扎卡,马达加斯加
AHY,安巴图兰皮机场,AHY,安巴图兰皮,马达加斯加
AMY,安巴图迈茵蒂机场,AMY,安巴图迈茵蒂,马达加斯加
AMB,安比卢贝机场,AMB,安比卢贝,马达加斯加
JVA,安卡凡特拉机场,JVA,安卡凡特拉,马达加斯加
AMP,安帕尼希机场,AMP,安帕尼希,马达加斯加
ATJ,安齐拉贝机场,ATJ,安齐拉贝,马达加斯加
DIE,安齐拉纳纳机场,DIE,安齐拉纳纳,马达加斯加
WAQ,安索洛法机场,WAQ,安索洛法,马达加斯加
ANM,昂塔拉哈机场,ANM,昂塔拉哈,马达加斯加
BKU,贝蒂乌基机场,BKU,贝蒂乌基,马达加斯加
BMD,贝洛机场,BMD,贝洛,马达加斯加
BSV,贝萨克阿机场,BSV,贝萨克阿,马达加斯加
BPY,贝萨兰皮机场,BPY,贝萨兰皮,马达加斯加
WAI,比萨拉姆皮机场,WAI,比萨拉姆皮,马达加斯加
TMM,大马达维港机场,TMM,大马达维港,马达加斯加
TLE,杜利亚机场,TLE,杜利亚,马达加斯加
FTU,多凡堡机场,FTU,多凡堡,马达加斯加
WFI,菲亚纳兰楚阿机场,WFI,菲亚纳兰楚阿,马达加斯加
TVA,马哈赞加省机场,TVA,马哈赞加省,马达加斯加
WMN,马鲁安采特拉机场,WMN,马鲁安采特拉,马达加斯加
WMR,马那那拉机场,WMR,马那那拉,马达加斯加
WVK,马纳卡拉机场,WVK,马纳卡拉,马达加斯加
MJN,马任加机场,MJN,马任加,马达加斯加
MXT,曼泰冉沃机场,MXT,曼泰冉沃,马达加斯加
MOQ,穆龙达瓦机场,MOQ,穆龙达瓦,马达加斯加
NOS,诺西贝机场,NOS,诺西贝,马达加斯加
WTS,齐鲁阿努曼迪迪机场,WTS,齐鲁阿努曼迪迪,马达加斯加
SVB,桑巴瓦机场,SVB,桑巴瓦,马达加斯加
SMS,圣玛丽机场,SMS,圣玛丽,马达加斯加
TNR,塔拿那利佛机场,TNR,塔那那利佛,马达加斯加
WTA,坦波河拉诺机场,WTA,坦波河拉诺,马达加斯加
ARW,阿拉德机场,ARW,阿拉德,罗马尼亚
OMR,奥拉迪亚机场,OMR,奥拉迪亚,罗马尼亚
BCM,巴克乌机场,BCM,巴克乌,罗马尼亚
BAY,巴亚马雷机场,BAY,巴亚马雷,罗马尼亚
OTP,奥托佩尼机场,BUH,布加勒斯特,罗马尼亚
BBU,布加勒斯特机场,BUH,布加勒斯特,罗马尼亚
DVA,德瓦机场,DVA,德瓦,罗马尼亚
TSR,蒂米什瓦拉机场,TSR,蒂米什瓦拉,罗马尼亚
CSB,卡兰萨贝什机场,CSB,卡兰萨贝什,罗马尼亚
CND,康斯坦察机场,CND,康斯坦察,罗马尼亚
CRA,克拉约瓦机场,CRA,克拉约瓦,罗马尼亚
CLJ,纳珀卡机场,CLJ,克卢日,罗马尼亚
SUJ,萨杜马勒机场,SUJ,萨图马雷,罗马尼亚
SCV,苏恰瓦机场,SCV,苏恰瓦,罗马尼亚
TGM,特尔古穆列什机场,TGM,特尔古穆列什,罗马尼亚
SBZ,锡比乌机场,SBZ,锡比乌,罗马尼亚
IAS,雅西机场,IAS,雅西,罗马尼亚
BTQ,布塔雷机场,BTQ,布塔雷,卢旺达
KGL,格雷格尔凯伊班达机场,KGL,基加利,卢旺达
LUX,卢森堡机场,LUX,卢森堡,卢森堡大公国
RUN,罗兰加洛斯机场,RUN,圣丹尼斯,留尼汪岛
ZSE,圣皮埃尔-德拉瑞乌尼翁机场,ZSE,圣皮埃尔,留尼汪岛
BEN,班加西国际机场,BEN,班加西,利比亚
LAQ,拜达机场,LAQ,贝达,利比亚
BCQ,利比亚布拉茨克机场,BCQ,布拉茨克,利比亚
TIP,的黎波里机场,TIP,的黎波里,利比亚
TOB,多布鲁克机场,TOB,多布鲁克,利比亚
HUQ,候恩机场,HUQ,候恩,利比亚
GHT,加特机场,GHT,加特,利比亚
AKF,库弗拉机场,AKF,库弗拉,利比亚
MJI,米蒂加机场,MJI,米蒂加,利比亚
MRA,米苏拉塔机场,MRA,米苏拉塔,利比亚
SEB,塞布哈机场,SEB,塞布哈,利比亚
SRX,瑟特机场,SRX,瑟特,利比亚
BYL,贝拉耶拉机场,BYL,贝拉耶拉,利比里亚
MLW,斯普里格-佩纳机场,MLW,蒙罗维亚,利比里亚
ROB,罗伯茨国际机场,MLW,蒙罗维亚,利比里亚
KUN,考纳斯国际机场,KUN,考纳斯,立陶宛
PLQ,帕兰加国际机场,PLQ,帕兰加,立陶宛
VNO,维尔纽斯机场,VNO,维尔纽斯,立陶宛
BEY,贝鲁特国际机场,BEY,贝鲁特,黎巴嫩
AOU,阿速坡机场,AOU,阿速坡,老挝
PKZ,巴色机场,PKZ,巴色,老挝
XKH,川圹机场,XKH,川圹,老挝
HOE,会晒机场,HOE,会晒,老挝
LPQ,朗勃拉邦机场,LPQ,琅勃拉邦,老挝
LXG,琅纳姆塔机场,LXG,琅南塔,老挝
ZVK,沙湾拿吉机场,ZVK,沙湾拿吉,老挝
VTE,瓦岱国际机场,VTE,万象,老挝
ODY,乌多姆塞机场,ODY,乌多姆赛,老挝
MSU,莫舒舒-世国际机场,MSU,马塞卢,莱索托
RIX,里加机场,RIX,里加,拉脱维亚
DGP,陶格夫匹尔斯机场,DGP,陶格夫皮尔斯,拉脱维亚
CUR,哈托机场,CUR,库拉索,库拉索
AIU,阿蒂乌岛机场,AIU,阿蒂乌岛,库克群岛
AIT,埃图塔基机场,AIT,埃图塔基,库克群岛
RAR,拉罗汤加岛机场,RAR,拉罗汤加,库克群岛
MHX,马尼希基群岛机场,MHX,马尼希基群岛,库克群岛
MGS,芒艾亚岛机场,MGS,曼加伊亚岛,库克群岛
MUK,毛凯岛机场,MUK,茅克岛,库克群岛
MOI,米蒂亚罗岛机场,MOI,米提亚罗岛,库克群岛
PYE,彭林岛机场,PYE,彭林岛,库克群岛
EDL,埃尔多雷特机场,EDL,埃尔多雷特,肯尼亚
ASV,安博塞利机场,ASV,安博塞利,肯尼亚
BMQ,班布里机场,BMQ,班布里,肯尼亚
KIS,基苏木机场,KIS,基苏木,肯尼亚
LAU,拉穆机场,LAU,拉穆,肯尼亚
LKG,罗奇楚吉沃机场,LKG,罗奇楚吉沃,肯尼亚
MRE,马拉洛奇斯机场,MRE,马拉洛奇斯,肯尼亚
MYD,马林迪机场,MYD,马林迪,肯尼亚
MBA,莫伊国际机场,MBA,蒙巴萨,肯尼亚
NYK,纳纽基机场,NYK,那纽基,肯尼亚
NBO,乔莫-肯雅塔国际机场,NBO,内罗毕,肯尼亚
WIL,威尔逊机场,NBO,内罗毕,肯尼亚
KWY,齐瓦余机场,KWY,齐瓦余,肯尼亚
UAS,圣布鲁机场,UAS,圣布鲁,肯尼亚
UKA,乌昆达机场,UKA,乌昆达,肯尼亚
OSI,奥西耶克机场,OSI,奥西耶克,克罗地亚
BWK,博尔机场,BWK,博尔,克罗地亚
DBV,杜布罗夫尼克机场,DBV,杜布罗夫尼克,克罗地亚
RJK,里耶卡机场,RJK,里耶卡,克罗地亚
PUY,普拉机场,PUY,普拉,克罗地亚
ZAG,萨格勒布机场,ZAG,萨格勒布,克罗地亚
SPU,斯普利特机场,SPU,斯普利特,克罗地亚
ZAD,扎达尔机场,ZAD,扎达尔,克罗地亚
KWI,科威特机场,KWI,科威特,科威特
ABJ,费里克斯霍佛特博伊机场,ABJ,阿比让,科特迪瓦
ABO,阿博伊索机场,ABO,阿博伊索,科特迪瓦
BGG,邦瓜努机场,BGG,邦瓜努,科特迪瓦
BBV,贝莱比机场,BBV,贝莱比,科特迪瓦
BXI,本贾里机场,BXI,本贾里,科特迪瓦
BRZ,博洛陶机场,BRZ,博洛陶,科特迪瓦
BQO,布纳机场,BQO,布纳,科特迪瓦
BYK,布瓦凯机场,BYK,布瓦凯,科特迪瓦
BUU,布尤机场,BUU,布尤,科特迪瓦
HGO,科尔霍戈机场,HGO,科尔霍戈,科特迪瓦
SPY,科特迪瓦圣佩特罗机场,SPY,圣佩特罗,科特迪瓦
AJN,昂儒昂机场,AJN,昂儒昂,科摩罗
YVA,伊科尼机场,YVA,莫罗尼,科摩罗
HAH,赛义德易卜拉欣王子机场,YVA,莫罗尼,科摩罗
GCM,大开曼岛机场,GCM,大开曼岛,开曼群岛
CYB,开曼布拉克机场,CYB,开曼布拉克,开曼群岛
DOH,哈马德国际机场,DOH,多哈,卡塔尔
BFX,巴富萨姆机场,BFX,巴富萨姆,喀麦隆
BLC,喀麦隆巴利机场,BLC,巴利,喀麦隆
BPC,巴门达机场,BPC,巴门达,喀麦隆
BTA,贝尔图阿机场,BTA,贝尔图阿,喀麦隆
DLA,杜阿拉机场,DLA,杜阿拉,喀麦隆
NGE,恩冈代雷机场,NGE,恩冈代雷,喀麦隆
GOU,加鲁阿机场,GOU,加鲁阿,喀麦隆
MVR,马鲁阿机场,MVR,马鲁阿,喀麦隆
YAO,雅温得机场,YAO,雅温得,喀麦隆
NSI,希马伦机场,YAO,雅温得,喀麦隆
BFO,布法罗兰奇机场,BFO,布法罗兰奇,津巴布韦
BUQ,布拉瓦约机场,BUQ,布拉瓦约,津巴布韦
BZH,布米希尔斯机场,BZH,布米希尔斯,津巴布韦
HRE,哈拉雷机场,HRE,哈拉雷,津巴布韦
KAB,卡里巴机场,KAB,卡里巴,津巴布韦
VFA,维多利亚瀑布城机场,VFA,维多利亚大瀑布,津巴布韦
BRQ,布尔诺机场,BRQ,布尔诺,捷克
PRG,布拉格机场,PRG,布拉格,捷克
OSR,俄斯特拉伐机场,OSR,俄斯特拉发,捷克
KLV,卡罗维发利机场,KLV,卡罗维发利,捷克
KKZ,戈公机场,KKZ,戈公,柬埔寨
PNH,金边机场,PNH,金边,柬埔寨
RBE,腊塔纳基里机场,RBE,腊塔纳基里,柬埔寨
BBM,巴德望机场,BBM,马德望,柬埔寨
TNX,上丁机场,TNX,上丁,柬埔寨
KOS,西哈努克机场,KOS,西哈努克市,柬埔寨
REP,暹粒机场,REP,暹粒,柬埔寨
AKE,阿基安尼机场,AKE,阿基安尼,加蓬
AWE,阿洛维机场,AWE,阿洛维,加蓬
OYE,奥耶姆机场,OYE,奥耶姆,加蓬
BGP,邦戈机场,BGP,邦戈,加蓬
BMM,比塔姆机场,BMM,比塔姆,加蓬
BAW,比亚文克机场,BAW,比亚文克,加蓬
BGB,博韦机场,BGB,博韦,加蓬
MVB,弗朗斯维尔机场,MVB,弗朗斯维尔,加蓬
GAX,甘巴机场,GAX,甘巴,加蓬
KOU,库拉穆图机场,KOU,库拉穆图,加蓬
LBV,利伯维尔机场,LBV,利伯维尔,加蓬
MYB,玛尤曼巴机场,MYB,玛尤曼巴,加蓬
MFF,加蓬莫安达机场,MFF,莫安达,加蓬
MJL,穆伊拉机场,MJL,穆伊拉,加蓬
POG,让蒂尔港机场,POG,让蒂尔港,加蓬
OMB,翁布埃机场,OMB,翁布埃,加蓬
ACC,阿克拉机场,ACC,阿克拉,加纳
YXX,阿博茨福德机场,YXX,阿博茨福德,加拿大
YPA,阿尔伯特亲王城机场,YPA,阿尔伯特亲王城,加拿大
AKV,阿库里维克机场,AKV,阿库里维克,加拿大
YPJ,阿派鲁克机场,YPJ,阿派鲁克,加拿大
YEK,阿维亚特机场,YEK,阿维亚特,加拿大
YEG,埃德蒙顿国际机场,YEA,埃德蒙顿,加拿大
YPB,艾伯尼港机场,YPB,艾伯尼港,加拿大
YIV,艾兰湖-加登希尔机场,YIV,艾兰湖加登希尔,加拿大
YAX,安吉灵湖机场,YAX,安吉灵湖,加拿大
YAA,安纳希姆湖机场,YAA,安纳希姆湖,加拿大
YFA,奥尔巴尼堡机场,YFA,奥尔巴尼堡,加拿大
YOG,奥戈基机场,YOG,奥戈基,加拿大
YBG,巴戈特维尔机场,YBG,巴戈特洋,加拿大
ZBF,巴瑟斯特机场,ZBF,巴瑟斯特,加拿大
YXY,怀特霍斯机场,YXY,白马市,加拿大
YPC,保拉图克机场,YPC,保拉图克,加拿大
YPW,鲍威尔河机场,YPW,鲍威尔河,加拿大
XBE,贝尔斯金莱克机场,XBE,贝尔斯金莱克,加拿大
YBC,贝科莫机场,YBC,贝科莫,加拿大
ZEL,贝拉贝拉机场,ZEL,贝拉贝拉,加拿大
QBC,贝拉库尔机场,QBC,贝拉库尔,加拿大
YBI,贝勒克体克机场,YBI,贝勒克体克,加拿大
YBW,贝利维尔港机场,YBW,贝利维尔港,加拿大
YNO,贝斯比利湖机场,YNO,贝斯比利湖,加拿大
YBX,波兰克飒隆机场,YBX,波兰克飒隆,加拿大
YNL,波因茨诺思兰丁机场,YNL,波因茨诺思兰丁,加拿大
YVM,布劳顿岛机场,YVM,布劳顿岛,加拿大
YBT,布罗撤机场,YBT,布罗撤,加拿大
YOP,彩虹湖机场,YOP,彩虹湖,加拿大
YCL,查洛机场,YCL,查洛,加拿大
YHD,柴登机场,YHD,柴登,加拿大
YTL,大鳟鱼湖机场,YTL,大鳟鱼湖,加拿大
YDI,戴维斯因莱特机场,YDI,戴维斯因莱特,加拿大
YDA,道森机场,YDA,道森,加拿大
YDQ,道森河机场,YDQ,道森河,加拿大
YDS,道森克里克机场,YDS,道森克里克,加拿大
YHY,稻草河机场,YHY,稻草河,加拿大
YWJ,德莱恩机场,YWJ,德莱恩,加拿大
YQD,德帕斯机场,YQD,德帕斯,加拿大
YXT,德瑞司机场,YXT,德瑞司,加拿大
YTS,蒂明斯机场,YTS,蒂明斯,加拿大
YDN,多芬机场,YDN,多芬,加拿大
YYZ,帕尔森国际机场,YTO,多伦多,加拿大
YTZ,多伦多岛机场,YTO,多伦多,加拿大
YKZ,巴登维尔机场,YTO,多伦多,加拿大
YTE,多塞特角机场,YTE,多塞特角,加拿大
YYR,鹅湾机场,YYR,鹅湾,加拿大
YAG,法兰西丝堡机场,YAG,法兰西丝堡,加拿大
ZFD,丰迪拉克机场,ZFD,丰迪拉克,加拿大
YFC,弗雷德里克顿机场,YFC,弗雷德里克顿,加拿大
YFX,福克斯港机场,YFX,福克斯港,加拿大
YMM,麦克默里堡机场,YMM,福麦木瑞,加拿大
YFO,富林伏隆市机场,YFO,富林伏隆市,加拿大
YQX,甘德市机场,YQX,甘德市,加拿大
YGG,岗日港机场,YGG,岗日港,加拿大
YQU,大草原城机场,YQU,格兰裴瑞尔,加拿大
YGZ,格里斯菲奥德机场,YGZ,格里斯菲奥德,加拿大
YGN,格林维斯奥机场,YGN,格林维斯奥,加拿大
ZGI,各德斯河机场,ZGI,各德斯河,加拿大
YGX,各离曼机场,YGX,各离曼,加拿大
YGO,各沃斯奈罗机场,YGO,各沃斯奈罗,加拿大
XQU,挂里金沙海滩机场,XQU,挂里金沙海滩,加拿大
YZT,哈迪港机场,YZT,哈迪港,加拿大
YPH,伊努克爪克机场,YPH,哈迪港,加拿大
YST,圣泰雷斯角机场,YST,哈迪港,加拿大
YUX,哈尔海滩机场,YUX,哈尔海滩,加拿大
YHZ,哈利法克斯机场,YHZ,哈利法克斯,加拿大
YHM,多伦多哈密尔顿机场,YHM,哈密尔顿,加拿大
YOJ,海莱科尔机场,YOJ,海莱科尔,加拿大
YGH,好望堡机场,YGH,好望堡,加拿大
YPE,和平河机场,YPE,和平河,加拿大
YRL,红湖机场,YRL,红湖,加拿大
YLE,化提机场,YLE,化提,加拿大
YHI,霍尔曼机场,YHI,霍尔曼,加拿大
YHO,霍普代尔机场,YHO,霍普代尔,加拿大
YHA,霍普辛普森港机场,YHA,霍普辛普森港,加拿大
YLW,科罗纳机场,YLW,基隆拿,加拿大
YKF,基奇纳机场,YKF,基奇纳,加拿大
KEW,安大略机场,KEW,基瓦伊温,加拿大
YGB,吉利斯湾机场,YGB,吉利斯湾,加拿大
YND,加蒂诺机场,YND,加蒂诺,加拿大
YGP,加斯佩机场,YGP,加斯佩,加拿大
ZGS,界斯曼尼机场,ZGS,界斯曼尼,加拿大
KIF,金菲舍机场,KIF,金菲舍,加拿大
YLC,金米莱特机场,YLC,金米莱特湖港,加拿大
YGK,金斯顿机场,YGK,金斯顿,加拿大
YYC,卡尔加里机场,YYC,卡尔加里,加拿大
YAC,卡湖机场,YAC,卡湖,加拿大
ZKG,卡瑙普斯考机场,ZKG,卡瑙普斯考,加拿大
YYU,卡普斯卡辛机场,YYU,卡普斯卡辛,加拿大
XKS,卡萨布尼卡机场,XKS,卡萨布尼卡,加拿大
YKQ,卡萨甘尼史机场,YKQ,卡萨甘尼史,加拿大
ZKE,卡似彻彻湾机场,ZKE,卡似彻彻湾,加拿大
YCG,卡斯尔加机场,YCG,卡司特雷加,加拿大
YRF,卡特赖特机场,YRF,卡特赖特,加拿大
YQK,凯诺拉机场,YQK,凯诺拉,加拿大
YBL,坎贝尔河机场,YBL,坎贝尔河,加拿大
YHH,坎贝尔里弗水上飞机基地,YBL,坎贝尔河,加拿大
YCB,坎布里奇贝机场,YCB,坎布里季贝,加拿大
XGR,坎基克苏阿鲁约克机场,XGR,坎基克苏阿鲁约克,加拿大
YWB,坎基克苏阿约克机场,YWB,坎基克苏阿约克,加拿大
YKA,坎卢普斯机场,YKA,坎卢普斯,加拿大
YKG,康各苏克机场,YKG,康各苏克,加拿大
YQQ,科莫克斯机场,YQQ,康英克斯,加拿大
YCK,科维尔湖机场,YCK,科维尔湖,加拿大
YCY,克莱德河机场,YCY,克莱德河,加拿大
YKT,克莱木图机场,YKT,克莱木图,加拿大
YXC,克兰布鲁克机场,YXC,克兰布鲁克,加拿大
YCO,库卢克图克机场,YCO,库卢克图克,加拿大
YVP,库朱阿克机场,YVP,库朱阿克,加拿大
YQC,宽陶机场,YQC,宽陶,加拿大
YQB,魁北克机场,YQB,魁北克,加拿大
YQZ,魁斯内尔机场,YQZ,魁斯内尔,加拿大
YGL,拉格兰德机场,YGL,拉格兰德,加拿大
XLB,拉克布罗切特机场,XLB,拉克布罗切特,加拿大
YVC,拉龙日机场,YVC,拉龙日,加拿大
YQL,莱斯布里奇机场,YQL,莱斯布里奇,加拿大
YLY,兰利机场,YLY,兰利,加拿大
YLH,兰斯当豪斯机场,YLH,兰斯当豪斯,加拿大
YOC,老乌鸦机场,YOC,老乌鸦,加拿大
YRG,雷果勒机场,YRG,雷果勒,加拿大
YRB,雷索卢特机场,YRB,雷索卢特,加拿大
YQR,里贾纳机场,YQR,里贾纳,加拿大
YUT,里帕尔斯贝机场,YUT,里帕尔斯贝,加拿大
YYL,林恩湖机场,YYL,林恩湖,加拿大
YUY,鲁安机场,YUY,鲁安,加拿大
YPR,鲁伯特王子市机场,YPR,鲁伯特王子市,加拿大
YSG,鲁特塞尔克机场,YSG,鲁特塞尔克,加拿大
YDF,迪尔莱克机场,YDF,鹿湖,加拿大
YVZ,鹿湖机场,YVZ,鹿湖,加拿大
YXU,伦顿大都会地区机场,YXU,伦敦,加拿大
YRJ,罗伯瓦机场,YRJ,罗伯瓦,加拿大
YRA,拉埃雷克斯机场,YRA,罗利,加拿大
YLL,罗明斯特机场,YLL,罗明斯特,加拿大
YMN,马可维客机场,YMN,马可维客,加拿大
YMH,马利斯港机场,YMH,马利斯港,加拿大
ZMT,马塞特机场,ZMT,马塞特,加拿大
MSA,马斯克拉特担姆机场,MSA,马斯克拉特担姆,加拿大
YGR,麦迪兰岛机场,YGR,麦迪兰岛,加拿大
YMP,麦纽港机场,YMP,麦纽港,加拿大
YXH,梅迪辛哈特机场,YXH,梅迪辛哈特,加拿大
YTM,蒙特朗布朗机场,YTM,蒙特朗布朗,加拿大
YMX,米拉贝尔机场,YMQ,蒙特利尔,加拿大
YHU,蒙特利尔机场,YMQ,蒙特利尔,加拿大
YUL,杜鲁道国际机场,YMQ,蒙特利尔,加拿大
YYY,蒙特朱利机场,YYY,蒙特朱利,加拿大
YMO,穆索尼机场,YMO,穆索尼,加拿大
YYE,纳尔逊堡机场,YYE,纳尔逊堡,加拿大
YQN,纳季纳机场,YQN,纳季纳,加拿大
ZNA,纳奈莫港机场,YCD,纳奈莫,加拿大
YCD,纳奈莫机场,YCD,纳奈莫,加拿大
YNA,南达什全机场,YNA,南达什全,加拿大
YSR,南斯韦克机场,YSR,南斯韦克,加拿大
XSI,南印度河机场,XSI,南印度河,加拿大
YDP,内恩机场,YDP,内恩,加拿大
YNS,内米斯奥机场,YNS,内米斯奥,加拿大
YOH,牛津屋机场,YOH,牛津屋,加拿大
YNE,挪威屋机场,YNE,挪威屋,加拿大
ZFN,诺曼堡机场,ZFN,诺曼堡,加拿大
YVQ,诺曼韦尔斯机场,YVQ,诺曼韦尔斯,加拿大
YYB,诺斯贝机场,YYB,诺斯贝,加拿大
