airplane,airname,citycode,cityname,country
DLI,连科杭机场,DLI,大叻,越南
VKG,拉奇吉亚机场,VKG,迪石,越南
DIN,奠边府机场,DIN,奠边府,越南
PQC,杜恩当机场,PQC,富国岛,越南
UIH,归仁机场,UIH,归仁,越南
HPH,卡特比机场,HPH,海防,越南
HAN,河内机场,HAN,河内,越南
SGN,胡志明市机场,SGN,胡志明市,越南
CAH,金瓯机场,CAH,金瓯,越南
VCS,昆仑岛机场,VCS,昆仑岛,越南
VCA,芹苴国际机场,VCA,芹苴,越南
VII,荣市机场,VII,荣市,越南
TMK,三歧机场,TMK,三歧,越南
SQH,山萝机场,SQH,山萝,越南
HUI,普拜机场,HUI,顺化,越南
VDH,同海机场,VDH,同海,越南
DAD,岘港机场,DAD,岘港,越南
TBB,宣化机场,TBB,宣化,越南
CXR,卡姆拉恩机场,NHA,芽庄,越南
NHA,芽庄机场,NHA,芽庄,越南
AMM,阿里亚皇后国际机场,AMM,安曼,约旦
AQJ,亚喀巴机场,AQJ,亚喀巴,约旦
EIS,比夫岛机场,EIS,比夫岛,英属维京群岛
VIJ,维京果岛机场,VIJ,维京果岛,英属维京群岛
ABB,阿萨巴国际机场,ABB,阿宾顿,英国
ABZ,阿伯丁机场,ABZ,阿伯丁,英国
AYH,阿尔孔伯利机场,AYH,阿尔孔伯利,英国
EOI,埃代岛机场,EOI,埃代岛,英国
EXT,埃克塞特机场,EXT,埃克塞特,英国
ILY,艾莱机场,ILY,艾莱,英国
EDI,爱丁堡机场,EDI,爱丁堡,英国
ADV,安多弗机场,ADV,安多弗,英国
ACI,奥尔德尼机场,ACI,奥尔德尼,英国
BRR,北湾机场,BRR,巴拉,英国
BOL,巴利凯利机场,BOL,巴利凯利,英国
BWF,巴罗因弗内斯地区机场,BWF,巴罗因弗内斯,英国
NRL,北罗纳德赛机场,NRL,北罗纳德赛岛,英国
BHD,乔治贝斯特贝尔法斯特城市机场,BFS,贝尔法斯特,英国
BFS,贝尔法斯特机场,BFS,贝尔法斯特,英国
BEQ,贝里圣埃德蒙兹机场,BEQ,贝里圣埃德蒙兹,英国
BEB,本贝库拉机场,BEB,本贝库拉,英国
BBP,本布里奇机场,BBP,本布里奇,英国
BEX,本森皇家空军机场,BEX,本森,英国
BUT,伯顿伍德机场,BUT,伯顿伍德,英国
BOH,伯恩茅斯机场,BOH,伯恩茅斯,英国
BHX,伯明翰国际机场,BHX,伯明翰,英国
BBS,布莱克布什机场,BBS,布莱克布什,英国
BLK,布莱克普尔机场,BLK,布莱克浦,英国
BSH,布赖顿机场,BSH,布赖顿,英国
BZZ,布雷兹诺顿机场,BZZ,布雷兹诺顿,英国
BRS,英国布里斯托尔机场,BRS,布里斯托尔,英国
DND,邓迪机场,DND,邓迪,英国
MME,达勒姆提斯瓦雷机场,MME,蒂赛德,英国
DOC,多诺赫机场,DOC,多诺赫,英国
ENK,恩尼斯基林机场,ENK,恩尼斯基林,英国
FIE,费尔岛机场,FIE,费尔岛,英国
GLA,英国格拉斯哥机场,GLA,格拉斯哥,英国
PIK,格拉斯哥普雷斯蒂克国际机场,GLA,格拉斯哥,英国
GCI,根西岛机场,GCI,根西岛,英国
HUY,汉伯塞机场,HUY,亨伯赛德,英国
CWL,加帝夫机场,CWL,加的夫,英国
CBG,剑桥机场,CBG,剑桥,英国
CAX,卡莱尔机场,CAX,卡莱尔,英国
CAL,坎贝尔镇机场,CAL,坎贝尔镇,英国
CVT,考文垂机场,CVT,考文垂,英国
KOI,柯克沃尔机场,KOI,柯克沃尔,英国
COL,科尔岛机场,COL,科尔岛,英国
CLF,科尔蒂瑟尔机场,CLF,科尔蒂瑟尔,英国
CSA,科伦塞岛机场,CSA,科伦塞岛,英国
CRN,克罗默蒂机场,CRN,克罗默蒂,英国
LEQ,兰兹角机场,LEQ,兰兹角,英国
LPL,利物浦-约翰列农机场,LPL,利物浦,英国
LBA,利兹机场,LBA,利兹,英国
LGW,盖特维克机场,LON,伦敦,英国
LTN,卢顿机场,LON,伦敦,英国
LCY,伦敦城机场,LON,伦敦,英国
SEN,伦敦绍森德机场,LON,伦敦,英国
STN,伦敦斯坦德机场,LON,伦敦,英国
LHR,西斯罗机场,LON,伦敦,英国
LDY,伦敦德里机场,LDY,伦敦德里,英国
MAN,曼彻斯特机场,MAN,曼彻斯特,英国
IOM,罗纳尔兹威机场,IOM,曼岛,英国
MSE,漫斯顿机场,MSE,漫斯顿,英国
SOU,伊斯特雷机场,SOU,南安普敦,英国
OXF,牛津机场,OXF,牛津,英国
NQY,纽基机场,NQY,纽基,英国
NCL,纽卡斯尔机场,NCL,纽卡斯尔,英国
EMA,诺丁汉东米德兰机场,NQT,诺丁汉,英国
NQT,诺丁汉机场,NQT,诺丁汉,英国
NWI,诺维奇机场,NWI,诺威奇,英国
PPW,帕帕韦斯特雷机场,PPW,帕帕韦斯特雷,英国
PZE,彭赞斯机场,PZE,彭赞斯,英国
PLH,普利茅斯机场,PLH,普利茅斯,英国
CEG,切斯特机场,CEG,切斯特,英国
NDY,桑代机场,NDY,桑代,英国
LWK,莱维克-廷瓦尔机场,SDZ,设得兰群岛,英国
LSI,苏姆博机场,SDZ,设得兰群岛,英国
SOY,斯特旺塞机场,SOY,斯特旺塞,英国
SYY,斯托诺韦机场,SYY,斯托诺韦,英国
SWS,斯旺西机场,SWS,斯旺西,英国
DSA,唐克斯特机场,DSA,唐克斯特,英国
TRE,提利岛机场,TRE,提利岛,英国
WIC,威克机场,WIC,威克,英国
WRY,韦斯特雷机场,WRY,韦斯特雷,英国
ISC,西西里群岛机场,ISC,西西里群岛,英国
SZD,谢菲尔德机场,SZD,谢菲尔德,英国
INV,因纹内丝机场,INV,因弗内斯,英国
JER,泽西机场,JER,泽西,英国
GIB,直布罗陀机场,GIB,直布罗陀,英国
ARJ,阿尔索机场,ARJ,阿尔索,印度尼西亚
ARD,阿洛岛机场,ARD,阿洛岛,印度尼西亚
AHI,阿马海机场,AHI,阿马海,印度尼西亚
AAS,阿帕拉普希里机场,AAS,阿帕拉普希里,印度尼西亚
AKQ,阿斯特拉赛特拉机场,AKQ,阿斯特拉赛特拉,印度尼西亚
ABU,阿坦布阿机场,ABU,阿坦布阿,印度尼西亚
AYW,阿亚瓦西机场,AYW,阿亚瓦西,印度尼西亚
AEG,埃克戈当机场,AEG,埃克戈当,印度尼西亚
AGD,安吉机场,AGD,安吉,印度尼西亚
AMQ,安汶机场,AMQ,安汶,印度尼西亚
BXB,巴博机场,BXB,巴博,印度尼西亚
BXD,巴德机场,BXD,巴德,印度尼西亚
PDG,塔宾机场,PDG,巴东,印度尼西亚
BTH,杭纳迪姆机场,BTH,巴都贝萨尔,印度尼西亚
BTW,巴都利金机场,BTW,巴都利金,印度尼西亚
BJW,巴贾瓦机场,BJW,巴贾瓦,印度尼西亚
BPN,塞平甘机场,BPN,巴厘巴板,印度尼西亚
DPS,登巴萨国际机场,DPS,巴厘岛,印度尼西亚
BXM,巴托姆机场,BXM,巴托姆,印度尼西亚
BUW,巴务巴务机场,BUW,巴务巴务,印度尼西亚
BTJ,班达亚齐机场,BTJ,班达亚齐,印度尼西亚
BXT,邦坦机场,BXT,邦坦,印度尼西亚
BYQ,邦育机场,BYQ,邦育,印度尼西亚
PKU,希姆庞提加机场,PKU,北干巴鲁,印度尼西亚
BEJ,贝劳机场,BEJ,贝劳,印度尼西亚
BJK,本基纳机场,BJK,本基纳,印度尼西亚
BMU,比马机场,BMU,比马,印度尼西亚
BIK,毕阿克机场,BIK,毕阿克,印度尼西亚
PGK,槟榔机场,PGK,槟榔,印度尼西亚
PUM,波马拉机场,PUM,波马拉,印度尼西亚
BUI,博康迪尼机场,BUI,博康迪尼,印度尼西亚
BJG,博拉恩机场,BJG,博拉恩,印度尼西亚
DJJ,查亚普拉机场,DJJ,查亚普拉,印度尼西亚
DTD,达塔达瓦伊机场,DTD,达塔达瓦伊,印度尼西亚
TRK,打拉根机场,TRK,打拉根,印度尼西亚
TJG,丹戎机场,TJG,丹戎,印度尼西亚
TJQ,丹戎彭登机场,TJQ,丹戎彭登,印度尼西亚
TJS,丹戎式罗机场,TJS,丹戎式罗,印度尼西亚
DTB,多巴湖机场,DTB,多巴湖,印度尼西亚
FKQ,法克法克机场,FKQ,法克法,印度尼西亚
KBU,哥打巴鲁机场,KBU,哥打巴鲁,印度尼西亚
GTO,哥伦打洛机场,GTO,哥伦打洛,印度尼西亚
KOE,古邦机场,KOE,古邦,印度尼西亚
GNS,古农西托利机场,GNS,古农西托利,印度尼西亚
KTG,吉打邦机场,KTG,吉打邦,印度尼西亚
PLM,巨港机场,PLM,巨港,印度尼西亚
KNG,凯马纳机场,KNG,凯马纳,印度尼西亚
KDI,沃尔特挽蒙金西迪机场,KDI,肯达利,印度尼西亚
PNK,坤甸机场,PNK,坤甸,印度尼西亚
LAH,拉布哈机场,LAH,拉布哈,印度尼西亚
LOP,班德拉机场,LOP,龙目岛,印度尼西亚
LBW,隆巴旺机场,LBW,隆巴旺,印度尼西亚
LUW,卢武克机场,LUW,卢武克,印度尼西亚
LPU,伦阿彭机场,LPU,伦阿彭,印度尼西亚
LSW,司马威机场,LSW,洛修马威市,印度尼西亚
BDJ,马晨机场,BDJ,马晨,印度尼西亚
MKQ,马老奇机场,MKQ,马老奇,印度尼西亚
MJU,马穆朱机场,MJU,马穆朱,印度尼西亚
MKW,伦达尼机场,MKW,马诺夸里,印度尼西亚
AMI,塞拉帕朗机场,AMI,马塔兰,印度尼西亚
MLG,玛琅机场,MLG,玛琅,印度尼西亚
MOF,毛梅里机场,MOF,毛梅里,印度尼西亚
MNA,梅蓝古恩机场,MNA,梅蓝古恩,印度尼西亚
MDC,万鸦老机场,MDC,美娜多,印度尼西亚
MEQ,米拉务机场,MEQ,米拉务亚齐,印度尼西亚
MES,棉兰机场,MES,棉兰,印度尼西亚
KNO,瓜拉纳穆机场,MES,棉兰,印度尼西亚
TNJ,启姜机场,TNJ,民丹岛,印度尼西亚
NAH,那霸机场,NAH,那霸,印度尼西亚
NBX,纳比雷机场,NBX,纳比雷,印度尼西亚
NTX,纳凸纳拉奈机场,NTX,纳凸纳拉奈,印度尼西亚
TKG,布兰提机场,TKG,南榜市,印度尼西亚
NNX,奴奴干城机场,NNX,奴奴干城,印度尼西亚
PKY,帕朗卡巴亚机场,PKY,帕朗卡拉亚,印度尼西亚
PLW,帕卢机场,PLW,帕卢,印度尼西亚
BKS,朋库卢机场,BKS,朋库卢,印度尼西亚
PSU,普图西包机场,PSU,普图西包,印度尼西亚
JOG,阿迪苏特吉普托机场,JOG,日惹,印度尼西亚
SRG,三宝拢机场,SRG,三宝垄,印度尼西亚
SRI,三马林达机场,SRI,三马林达,印度尼西亚
SMQ,散皮机场,SMQ,散皮,印度尼西亚
SWQ,森巴瓦机场,SWQ,森巴瓦,印度尼西亚
SUB,泗水机场,SUB,泗水,印度尼西亚
SOC,阿迪苏马尔默机场,SOC,梭罗,印度尼西亚
SOQ,索荣机场,SOQ,索荣,印度尼西亚
WUB,布利机场,WUB,谭匀布利,印度尼西亚
TMC,坦博拉卡机场,TMC,坦博拉卡,印度尼西亚
TTE,特尔纳特机场,TTE,特尔纳特,印度尼西亚
TIM,特姆巴加普拉机场,TIM,特姆巴加普拉,印度尼西亚
LUV,朗格机场,LUV,图阿尔,印度尼西亚
